epoch,accuracy,loss,val_accuracy,val_loss
0,0.39226547,1.2613099148664002,0.38372334837913513,1.2841743157501917
1,0.45894596,1.1493227244484965,0.4800165593624115,1.1161999632591884
2,0.4871609,1.1050982490586159,0.4808448851108551,1.0965549911023864
3,0.5170843,1.0576362848331233,0.5056947469711304,1.0803511271592277
4,0.53789604,1.0191474879817406,0.5299233794212341,1.0349250170083044
5,0.5469559,0.9932301265651776,0.5413128733634949,1.0089177562475056
6,0.5592255,0.9734967999464238,0.5384137630462646,1.0333222111798537
7,0.5640402,0.9615742373994774,0.5487678647041321,0.9922518153742594
8,0.56580037,0.9497106061215775,0.553530752658844,0.9844375815690737
9,0.56756055,0.9414079063092732,0.5286808609962463,1.049235070040567
10,0.5750673,0.9322374818561536,0.5384137630462646,1.0123986306460062
11,0.5806585,0.9249232754768558,0.5618140697479248,0.9619075205785736
12,0.5807103,0.9201386962328967,0.5498032569885254,0.9701948225510543
13,0.58133155,0.9152297574951921,0.5638848543167114,0.9562054964592057
14,0.5844895,0.9129352401467579,0.5556015968322754,0.9625181691027942
15,0.5874405,0.9064241690674192,0.5560157299041748,0.9496833227959003
16,0.5899772,0.904576627221703,0.5622282028198242,0.9501088214577245
17,0.58982193,0.9019061966721477,0.5626423954963684,0.9508943170413983
18,0.5892524,0.8987178887040207,0.5603644847869873,0.9516560791639295
19,0.5911679,0.8931761792812517,0.5527024269104004,0.9696138460188333
