epoch,accuracy,loss,val_accuracy,val_loss
0,0.49021536,1.1774576543206432,0.5369641780853271,1.0514476938903343
1,0.5648685,0.9909649547594481,0.5549803376197815,0.99918677972745
2,0.58459306,0.9343779083363732,0.568854808807373,0.9756653998351833
3,0.6022986,0.9037286162894812,0.5752744078636169,0.9656511813272574
4,0.6105819,0.8824471031121028,0.5775522589683533,0.9620710725640135
5,0.6209878,0.8663513777196271,0.5777593851089478,0.9656567893726383
6,0.62683785,0.8517252488964758,0.5787947773933411,0.9574013817357236
7,0.6363636,0.8383481272643436,0.580658495426178,0.9615511815971063
8,0.63895214,0.8286086531696568,0.5827293395996094,0.9575594736937781
9,0.64728725,0.8167608164684401,0.5856285095214844,0.9650518838651779
10,0.6515324,0.8061368989509983,0.5816939473152161,0.9638111118846711
11,0.6571754,0.799381218938557,0.58231520652771,0.9634285039550203
12,0.6613688,0.7874079189899916,0.58231520652771,0.9618305397912518
13,0.6677884,0.7786257749735432,0.5810726881027222,0.9623148234691845
14,0.67161936,0.7724050855162623,0.5843859910964966,0.9634978286127394
15,0.6780907,0.7621145097827734,0.58231520652771,0.9733742728048685
16,0.68342304,0.7544637071491399,0.5866639018058777,0.9708677590275976
17,0.6885483,0.7457840693962207,0.5821080803871155,0.9759079481805425
18,0.6902568,0.7386924465834712,0.5889418125152588,0.9718372140717718
19,0.69683164,0.7353110142587554,0.5870780944824219,0.977308797821492
